[10-02 14:45:34] Score: -83, Best Score: 7, Avg Score: -75.81428571428572, Steps: 18
[10-02 14:45:37] Score: -96, Best Score: 7, Avg Score: -76.09859154929578, Steps: 5
[10-02 14:45:39] Score: -100, Best Score: 7, Avg Score: -76.43055555555556, Steps: 1
[10-02 14:45:46] Score: -71, Best Score: 7, Avg Score: -76.35616438356165, Steps: 30
[10-02 14:45:52] Score: -78, Best Score: 7, Avg Score: -76.37837837837837, Steps: 23
[10-02 14:45:56] Score: -99, Best Score: 7, Avg Score: -76.68, Steps: 2
[10-02 14:46:04] Score: -63, Best Score: 7, Avg Score: -76.5, Steps: 38
[10-02 14:46:11] Score: -74, Best Score: 7, Avg Score: -76.46753246753246, Steps: 27
[10-02 14:46:14] Score: -100, Best Score: 7, Avg Score: -76.76923076923077, Steps: 1
[10-02 14:46:21] Score: -68, Best Score: 7, Avg Score: -76.65822784810126, Steps: 33
[10-02 14:46:24] Score: -100, Best Score: 7, Avg Score: -76.95, Steps: 1
[10-02 14:46:36] Score: -38, Best Score: 7, Avg Score: -76.46913580246914, Steps: 63
[10-02 14:46:48] Score: -48, Best Score: 7, Avg Score: -76.1219512195122, Steps: 53
[10-02 14:47:13] Score: 31, Best Score: 31, Avg Score: -74.83132530120481, Steps: 132
[10-02 14:47:17] Score: -100, Best Score: 31, Avg Score: -75.13095238095238, Steps: 1
[10-02 14:47:24] Score: -78, Best Score: 31, Avg Score: -75.16470588235295, Steps: 23
[10-02 14:47:40] Score: -43, Best Score: 31, Avg Score: -74.79069767441861, Steps: 58
[10-02 14:48:00] Score: 10, Best Score: 31, Avg Score: -73.816091954023, Steps: 111
[10-02 14:48:03] Score: -92, Best Score: 31, Avg Score: -74.02272727272727, Steps: 9
[10-02 14:48:13] Score: -52, Best Score: 31, Avg Score: -73.7752808988764, Steps: 49
[10-02 14:48:15] Score: -100, Best Score: 31, Avg Score: -74.06666666666666, Steps: 1
[10-02 14:48:26] Score: -50, Best Score: 31, Avg Score: -73.8021978021978, Steps: 51
[10-02 14:48:36] Score: -48, Best Score: 31, Avg Score: -73.52173913043478, Steps: 53
[10-02 14:48:39] Score: -99, Best Score: 31, Avg Score: -73.79569892473118, Steps: 2
[10-02 14:48:49] Score: -45, Best Score: 31, Avg Score: -73.48936170212765, Steps: 56
[10-02 14:48:59] Score: -52, Best Score: 31, Avg Score: -73.26315789473684, Steps: 49
[10-02 14:49:02] Score: -100, Best Score: 31, Avg Score: -73.54166666666667, Steps: 1
[10-02 14:49:10] Score: -63, Best Score: 31, Avg Score: -73.43298969072166, Steps: 38
[10-02 14:49:14] Score: -90, Best Score: 31, Avg Score: -73.60204081632654, Steps: 11
[10-02 14:49:16] Score: -100, Best Score: 31, Avg Score: -73.86868686868686, Steps: 1
[10-02 14:49:20] Score: -95, Best Score: 31, Avg Score: -74.08, Steps: 6
[10-02 14:49:23] Score: -96, Best Score: 31, Avg Score: -74.29702970297029, Steps: 5
[10-02 14:49:27] Score: -89, Best Score: 31, Avg Score: -74.44117647058823, Steps: 12
[10-02 14:49:37] Score: -50, Best Score: 31, Avg Score: -74.20388349514563, Steps: 51
[10-02 14:49:41] Score: -89, Best Score: 31, Avg Score: -74.34615384615384, Steps: 12
[10-02 14:49:46] Score: -83, Best Score: 31, Avg Score: -74.42857142857143, Steps: 18
[10-02 14:49:49] Score: -100, Best Score: 31, Avg Score: -74.66981132075472, Steps: 1
[10-02 14:49:54] Score: -88, Best Score: 31, Avg Score: -74.79439252336448, Steps: 13
[10-02 14:50:01] Score: -68, Best Score: 31, Avg Score: -74.73148148148148, Steps: 33
[10-02 14:50:03] Score: -100, Best Score: 31, Avg Score: -74.96330275229357, Steps: 1
[10-02 14:50:08] Score: -89, Best Score: 31, Avg Score: -75.0909090909091, Steps: 12
[10-02 14:50:16] Score: -57, Best Score: 31, Avg Score: -74.92792792792793, Steps: 44
[10-02 14:50:20] Score: -93, Best Score: 31, Avg Score: -75.08928571428571, Steps: 8
[10-02 14:50:23] Score: -98, Best Score: 31, Avg Score: -75.29203539823008, Steps: 3
[10-02 14:50:31] Score: -63, Best Score: 31, Avg Score: -75.1842105263158, Steps: 38
[10-02 14:50:42] Score: -47, Best Score: 31, Avg Score: -74.93913043478261, Steps: 54
[10-02 14:50:51] Score: -51, Best Score: 31, Avg Score: -74.73275862068965, Steps: 50
[10-02 14:51:00] Score: -60, Best Score: 31, Avg Score: -74.6068376068376, Steps: 41
[10-02 14:51:02] Score: -99, Best Score: 31, Avg Score: -74.8135593220339, Steps: 2
[10-02 14:51:10] Score: -62, Best Score: 31, Avg Score: -74.70588235294117, Steps: 39
[10-02 14:51:13] Score: -100, Best Score: 31, Avg Score: -74.91666666666667, Steps: 1
[10-02 14:51:17] Score: -87, Best Score: 31, Avg Score: -75.01652892561984, Steps: 14
[10-02 14:51:20] Score: -97, Best Score: 31, Avg Score: -75.19672131147541, Steps: 4
[10-02 14:51:22] Score: -100, Best Score: 31, Avg Score: -75.39837398373983, Steps: 1
[10-02 14:51:29] Score: -70, Best Score: 31, Avg Score: -75.35483870967742, Steps: 31
[10-02 14:51:32] Score: -100, Best Score: 31, Avg Score: -75.552, Steps: 1
[10-02 14:51:37] Score: -81, Best Score: 31, Avg Score: -75.5952380952381, Steps: 20
[10-02 14:51:40] Score: -95, Best Score: 31, Avg Score: -75.74803149606299, Steps: 6
[10-02 14:51:53] Score: -35, Best Score: 31, Avg Score: -75.4296875, Steps: 66
[10-02 14:51:55] Score: -100, Best Score: 31, Avg Score: -75.62015503875969, Steps: 1
[10-02 14:51:58] Score: -100, Best Score: 31, Avg Score: -75.8076923076923, Steps: 1
[10-02 14:52:06] Score: -65, Best Score: 31, Avg Score: -75.72519083969466, Steps: 36
[10-02 14:52:10] Score: -83, Best Score: 31, Avg Score: -75.78030303030303, Steps: 18
[10-02 14:52:26] Score: -15, Best Score: 31, Avg Score: -75.32330827067669, Steps: 86
[10-02 14:52:29] Score: -94, Best Score: 31, Avg Score: -75.46268656716418, Steps: 7
[10-02 14:52:34] Score: -85, Best Score: 31, Avg Score: -75.53333333333333, Steps: 16
[10-02 14:52:38] Score: -89, Best Score: 31, Avg Score: -75.63235294117646, Steps: 12
[10-02 14:52:40] Score: -100, Best Score: 31, Avg Score: -75.81021897810218, Steps: 1
[10-02 14:52:50] Score: -48, Best Score: 31, Avg Score: -75.6086956521739, Steps: 53
[10-02 14:52:56] Score: -74, Best Score: 31, Avg Score: -75.59712230215827, Steps: 27
[10-02 14:52:59] Score: -100, Best Score: 31, Avg Score: -75.77142857142857, Steps: 1
[10-02 14:53:01] Score: -100, Best Score: 31, Avg Score: -75.94326241134752, Steps: 1
[10-02 14:53:07] Score: -75, Best Score: 31, Avg Score: -75.93661971830986, Steps: 26
[10-02 14:53:10] Score: -99, Best Score: 31, Avg Score: -76.0979020979021, Steps: 2
[10-02 14:53:18] Score: -62, Best Score: 31, Avg Score: -76.0, Steps: 39
[10-02 14:53:22] Score: -93, Best Score: 31, Avg Score: -76.11724137931034, Steps: 8
[10-02 14:53:24] Score: -100, Best Score: 31, Avg Score: -76.28082191780823, Steps: 1
[10-02 14:53:27] Score: -100, Best Score: 31, Avg Score: -76.4421768707483, Steps: 1
[10-02 14:53:29] Score: -100, Best Score: 31, Avg Score: -76.60135135135135, Steps: 1
[10-02 14:53:34] Score: -84, Best Score: 31, Avg Score: -76.6510067114094, Steps: 17
[10-02 14:53:37] Score: -100, Best Score: 31, Avg Score: -76.80666666666667, Steps: 1
[10-02 14:53:45] Score: -60, Best Score: 31, Avg Score: -76.69536423841059, Steps: 41
[10-02 14:53:48] Score: -100, Best Score: 31, Avg Score: -76.84868421052632, Steps: 1
[10-02 14:53:53] Score: -82, Best Score: 31, Avg Score: -76.88235294117646, Steps: 19
[10-02 14:53:56] Score: -97, Best Score: 31, Avg Score: -77.01298701298701, Steps: 4
[10-02 14:54:01] Score: -84, Best Score: 31, Avg Score: -77.05806451612904, Steps: 17
[10-02 14:54:13] Score: -34, Best Score: 31, Avg Score: -76.78205128205128, Steps: 67
[10-02 14:54:23] Score: -51, Best Score: 31, Avg Score: -76.61783439490446, Steps: 50
